ENTITY,NAME,PUBLIC,PUBLIC NAME,CATEGORY,SHARED,FIELD NAME,FIELD LABEL,FIELD TYPE,ENUM VALUES,MANDATORY,FOREIGN KEY,ALLOW EDIT,ALLOW EDIT ON CREATE,ORIGIN FIELD,ORIGIN TABLE
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,CustomerAccount,Customer account,String (20),,Yes,No,Yes,Yes,AccountNum,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PartyType,Record type,String (13),,No,No,Yes,Yes,PartyType,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,OrganizationName,Organization name,String (100),,Yes,No,Yes,Yes,Name,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,NameAlias,Search name,String (20),,No,No,Yes,Yes,NameAlias,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,KnownAs,Known as,String (100),,No,No,Yes,Yes,KnownAs,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,CustomerGroupId,Customer group,String (10),,Yes,No,Yes,Yes,CustGroup,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,OrganizationNumber,Organization number,String (25),,No,No,Yes,Yes,OrganizationNumber,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,OrganizationNumberOfEmployees,Number of employees,Integer,,No,No,Yes,Yes,OrganizationNumOfEmployees,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,OrganizationABCCode,ABC code,Enum,0-None | 1-A | 2-B | 3-C,No,No,Yes,Yes,OrganizationABCCode,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,OrganizationPhoneticName,Phonetic name,String (100),,No,No,Yes,Yes,OrganizationPhoneticName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonInitials,Initials,String (10),,No,No,Yes,Yes,PersonInitials,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonFirstName,First name,String (25),,No,No,Yes,Yes,PersonFirstName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonMiddleName,Middle name,String (25),,No,No,Yes,Yes,PersonMiddleName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonLastNamePrefix,Last name prefix,String (25),,No,No,Yes,Yes,PersonLastNamePrefix,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonLastName,Last name,String (25),,No,No,Yes,Yes,PersonLastName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonProfessionalTitle,Professional title,String (50),,No,No,Yes,Yes,PersonProfessionalTitle,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonProfessionalSuffix,Professional suffix,String (50),,No,No,Yes,Yes,PersonProfessionalSuffix,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonPhoneticFirstName,Phonetic first,String (25),,No,No,Yes,Yes,PersonPhoneticFirstName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonPhoneticLastName,Phonetic last,String (25),,No,No,Yes,Yes,PersonPhoneticLastName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonPhoneticMiddleName,Phonetic middle,String (25),,No,No,Yes,Yes,PersonPhoneticMiddleName,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonGender,Gender,Enum,0-Unknown | 1-Male | 2-Female | 3-Non-Specific,No,No,Yes,Yes,PersonGender,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonMaritalStatus,Marital status,Enum,0-None | 1-Single | 2-Married | 3-Divorced | 4-Widowed,No,No,Yes,Yes,PersonMaritalStatus,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonAnniversaryDay,Anniversary day,Integer,,No,No,Yes,Yes,PersonAnniversaryDay,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonAnniversaryMonth,Anniversary month,Enum,0-None | 1-January | 2-February | 3-March | 4-April | 5-May | 6-June | 7-July | 8-August | 9-September | 10-October | 11-November | 12-December,No,No,Yes,Yes,PersonAnniversaryMonth,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonAnniversaryYear,Anniversary year,Integer,,No,No,Yes,Yes,PersonAnniversaryYear,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonChildrenNames,Children,String (150),,No,No,Yes,Yes,PersonChildrenNames,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PersonHobbies,Hobbies,String (150),,No,No,Yes,Yes,PersonHobbies,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,PartyNumber,Party ID,String (40),,No,No,No,Yes,PartyNumber,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressBooks,Address books,String (100),,No,No,Yes,Yes,AddressBooks,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,LanguageId,Language,String (7),,No,No,Yes,Yes,LanguageId,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,FullPrimaryAddress,Address,String (250),,No,No,No,No,Address,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressDescription,Name or description,String (60),,No,No,Yes,Yes,Description,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressZipCode,ZIP/postal code,String (10),,No,No,Yes,Yes,ZipCode,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressCity,City,String (60),,No,No,Yes,Yes,City,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressCountryRegionId,Country/region,String (10),,Yes,No,Yes,Yes,CountryRegionId,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressCountryRegionISOCode,Country/region ISO,String (2),,No,No,Yes,Yes,CountryRegionISOCode,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressCounty,County,String (10),,No,No,Yes,Yes,County,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressDistrictName,District,String (60),,No,No,Yes,Yes,DistrictName,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressLatitude,Latitude,Real,,No,No,Yes,Yes,Latitude,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressLocationId,Location ID,String (30),,No,No,Yes,Yes,LocationId,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressLocationRoles,Address role,String (100),,No,No,Yes,Yes,AddressLocationRoles,DirPartyBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressLongitude,Longitude,Real,,No,No,Yes,Yes,Longitude,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressState,State,String (10),,No,No,Yes,Yes,State,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressStreet,Street,String (250),,No,No,Yes,Yes,Street,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressStreetNumber,Street number,String (20),,No,No,Yes,Yes,StreetNumber,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressBuildingComplement,Building complement,String (60),,No,No,Yes,Yes,BuildingCompliment,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressValidFrom,Effective,UtcDateTime,,No,No,Yes,Yes,ValidFrom,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressValidTo,Expiration,UtcDateTime,,No,No,Yes,Yes,ValidTo,LogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressBrazilianCNPJOrCPF,CNPJ/CPF,String (20),,No,No,Yes,Yes,CNPJCPFNum_BR,LogisticsLocationExt
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,AddressBrazilianIE,IE,String (20),,No,No,Yes,Yes,IENum_BR,LogisticsLocationExt
